state,city,min_lat,max_lat,min_long,max_long
NY,HOLTSVILLE,40.7447,44.9806,-78.8993,-73.0575
NY,NEWBURGH,40.7447,44.9806,-78.8993,-73.0575
NY,ADDISON,40.7447,44.9806,-78.8993,-73.0575
NY,POMONA,40.7447,44.9806,-78.8993,-73.0575
NY,HOGANSBURG,40.7447,44.9806,-78.8993,-73.0575
NY,TONAWANDA,40.7447,44.9806,-78.8993,-73.0575
NY,UTICA,40.7447,44.9806,-78.8993,-73.0575
NY,WHITE PLAINS,40.7447,44.9806,-78.8993,-73.0575
OH,SHEFFIELD LAKE,38.508114,41.72681,-84.72049,-80.61569
OH,BATAVIA,38.508114,41.72681,-84.72049,-80.61569
OH,CANTON,38.508114,41.72681,-84.72049,-80.61569
OH,MEDINA,38.508114,41.72681,-84.72049,-80.61569
OH,CINCINNATI,38.508114,41.72681,-84.72049,-80.61569
OH,CLEVES,38.508114,41.72681,-84.72049,-80.61569
OH,DAYTON,38.508114,41.72681,-84.72049,-80.61569
OH,AKRON,38.508114,41.72681,-84.72049,-80.61569
OH,TOLEDO,38.508114,41.72681,-84.72049,-80.61569
OH,IRONTON,38.508114,41.72681,-84.72049,-80.61569
OH,LIMA,38.508114,41.72681,-84.72049,-80.61569
OH,NEW ALBANY,38.508114,41.72681,-84.72049,-80.61569
OH,PAINESVILLE,38.508114,41.72681,-84.72049,-80.61569
OH,NEW PARIS,38.508114,41.72681,-84.72049,-80.61569
OH,STEUBENVILLE,38.508114,41.72681,-84.72049,-80.61569
OH,BLUE ASH,38.508114,41.72681,-84.72049,-80.61569
OH,WARREN,38.508114,41.72681,-84.72049,-80.61569
OH,WEST UNION,38.508114,41.72681,-84.72049,-80.61569
OH,YELLOW SPRINGS,38.508114,41.72681,-84.72049,-80.61569
OH,YOUNGSTOWN,38.508114,41.72681,-84.72049,-80.61569
OK,COPAN,34.2569,36.922222,-98.4288,-94.524414
OK,GLENPOOL,34.2569,36.922222,-98.4288,-94.524414
OK,HEALDTON,34.2569,36.922222,-98.4288,-94.524414
OK,LAWTON,34.2569,36.922222,-98.4288,-94.524414
OK,MCALESTER,34.2569,36.922222,-98.4288,-94.524414
OK,MCLOUD,34.2569,36.922222,-98.4288,-94.524414
OK,WYANDOTTE,34.2569,36.922222,-98.4288,-94.524414
OK,MOORE,34.2569,36.922222,-98.4288,-94.524414
OK,OKLAHOMA CITY,34.2569,36.922222,-98.4288,-94.524414
OK,PONCA CITY,34.2569,36.922222,-98.4288,-94.524414
OK,ROLAND,34.2569,36.922222,-98.4288,-94.524414
OK,STILWELL,34.2569,36.922222,-98.4288,-94.524414
OK,TULSA,34.2569,36.922222,-98.4288,-94.524414
OR,ASHLAND,42.1617,45.828968,-124.26388500000002,-117.29607
OR,BAKER CITY,42.1617,45.828968,-124.26388500000002,-117.29607
OR,BEAVERTON,42.1617,45.828968,-124.26388500000002,-117.29607
OR,BEND,42.1617,45.828968,-124.26388500000002,-117.29607
OR,BURNS,42.1617,45.828968,-124.26388500000002,-117.29607
OR,CAVE JUNCTION,42.1617,45.828968,-124.26388500000002,-117.29607
OR,CHILOQUIN,42.1617,45.828968,-124.26388500000002,-117.29607
